year,sbiomass,recruits,stock_name
1976,318843,57027,arrowtooth_flounder_bsai
1977,306325,44967,arrowtooth_flounder_bsai
1978,294589,63640,arrowtooth_flounder_bsai
1979,280137,248850,arrowtooth_flounder_bsai
1980,262107,119519,arrowtooth_flounder_bsai
1981,246440,68708,arrowtooth_flounder_bsai
1982,239708,51685,arrowtooth_flounder_bsai
1983,245051,65193,arrowtooth_flounder_bsai
1984,255318,124637,arrowtooth_flounder_bsai
1985,275301,178692,arrowtooth_flounder_bsai
1986,303277,364172,arrowtooth_flounder_bsai
1987,339649,600889,arrowtooth_flounder_bsai
1988,387906,659310,arrowtooth_flounder_bsai
1989,431691,595945,arrowtooth_flounder_bsai
1990,494098,403164,arrowtooth_flounder_bsai
1991,548332,255102,arrowtooth_flounder_bsai
1992,589693,265434,arrowtooth_flounder_bsai
1993,625598,216130,arrowtooth_flounder_bsai
1994,651743,224265,arrowtooth_flounder_bsai
1995,662015,239165,arrowtooth_flounder_bsai
1996,671228,396457,arrowtooth_flounder_bsai
1997,671884,335189,arrowtooth_flounder_bsai
1998,676515,350643,arrowtooth_flounder_bsai
1999,681530,578172,arrowtooth_flounder_bsai
2000,697736,533098,arrowtooth_flounder_bsai
2001,720593,457991,arrowtooth_flounder_bsai
2002,749885,556896,arrowtooth_flounder_bsai
2003,786132,534943,arrowtooth_flounder_bsai
2004,824573,487217,arrowtooth_flounder_bsai
2005,855712,395515,arrowtooth_flounder_bsai
2006,887244,485027,arrowtooth_flounder_bsai
2007,914427,415800,arrowtooth_flounder_bsai
2008,935734,347647,arrowtooth_flounder_bsai
2009,943717,341034,arrowtooth_flounder_bsai
2010,939969,275990,arrowtooth_flounder_bsai
2011,925548,267711,arrowtooth_flounder_bsai
2012,901347,318947,arrowtooth_flounder_bsai
2013,872920,429033,arrowtooth_flounder_bsai
2014,848196,395695,arrowtooth_flounder_bsai
2015,827152,364014,arrowtooth_flounder_bsai
2016,816183,453213,arrowtooth_flounder_bsai
2017,822634,975385,arrowtooth_flounder_bsai
2018,849621,395180,arrowtooth_flounder_bsai
2019,849615,148296,arrowtooth_flounder_bsai
