year,recruits,sbiomass,stock_name
1977,356000000,169746,atka_mackerel_bsai
1978,2073000000,175673,atka_mackerel_bsai
1979,518000000,189492,atka_mackerel_bsai
1980,305000000,223495,atka_mackerel_bsai
1981,334000000,282113,atka_mackerel_bsai
1982,214000000,311707,atka_mackerel_bsai
1983,291000000,281459,atka_mackerel_bsai
1984,317000000,245658,atka_mackerel_bsai
1985,508000000,207040,atka_mackerel_bsai
1986,438000000,173734,atka_mackerel_bsai
1987,601000000,155805,atka_mackerel_bsai
1988,479000000,154669,atka_mackerel_bsai
1989,1210000000,161220,atka_mackerel_bsai
1990,572000000,173081,atka_mackerel_bsai
1991,333000000,194926,atka_mackerel_bsai
1992,522000000,221099,atka_mackerel_bsai
1993,874000000,223655,atka_mackerel_bsai
1994,346000000,195349,atka_mackerel_bsai
1995,342000000,173271,atka_mackerel_bsai
1996,888000000,154109,atka_mackerel_bsai
1997,204000000,137148,atka_mackerel_bsai
1998,317000000,126898,atka_mackerel_bsai
1999,745000000,131735,atka_mackerel_bsai
2000,1692000000,127801,atka_mackerel_bsai
2001,1100000000,119414,atka_mackerel_bsai
2002,1235000000,154160,atka_mackerel_bsai
2003,265000000,220997,atka_mackerel_bsai
2004,356000000,274681,atka_mackerel_bsai
2005,481000000,285030,atka_mackerel_bsai
2006,335000000,258229,atka_mackerel_bsai
2007,893000000,216172,atka_mackerel_bsai
2008,766000000,186205,atka_mackerel_bsai
2009,235000000,164588,atka_mackerel_bsai
2010,511000000,162905,atka_mackerel_bsai
2011,356000000,168236,atka_mackerel_bsai
2012,530000000,157716,atka_mackerel_bsai
2013,872000000,151209,atka_mackerel_bsai
2014,603000000,156092,atka_mackerel_bsai
2015,171000000,159154,atka_mackerel_bsai
2016,492000000,170133,atka_mackerel_bsai
2017,342000000,166971,atka_mackerel_bsai
2018,424000000,141957,atka_mackerel_bsai
2019,422000000,123350,atka_mackerel_bsai
2020,447000000,116934,atka_mackerel_bsai
