year,sbiomass,recruits,stock_name
1977,15523,1069,blackspotted_rougheye_goa
1978,15097,1241,blackspotted_rougheye_goa
1979,15010,3379,blackspotted_rougheye_goa
1980,14876,1080,blackspotted_rougheye_goa
1981,14436,918,blackspotted_rougheye_goa
1982,14243,1051,blackspotted_rougheye_goa
1983,14106,1924,blackspotted_rougheye_goa
1984,13942,2169,blackspotted_rougheye_goa
1985,13722,1225,blackspotted_rougheye_goa
1986,13762,1311,blackspotted_rougheye_goa
1987,13670,1191,blackspotted_rougheye_goa
1988,13540,994,blackspotted_rougheye_goa
1989,12976,832,blackspotted_rougheye_goa
1990,12205,761,blackspotted_rougheye_goa
1991,11376,790,blackspotted_rougheye_goa
1992,11362,816,blackspotted_rougheye_goa
1993,11065,2747,blackspotted_rougheye_goa
1994,10986,934,blackspotted_rougheye_goa
1995,10902,889,blackspotted_rougheye_goa
1996,10773,999,blackspotted_rougheye_goa
1997,10708,1679,blackspotted_rougheye_goa
1998,10647,1518,blackspotted_rougheye_goa
1999,10529,994,blackspotted_rougheye_goa
2000,10541,1200,blackspotted_rougheye_goa
2001,10477,1528,blackspotted_rougheye_goa
2002,10332,828,blackspotted_rougheye_goa
2003,10310,1299,blackspotted_rougheye_goa
2004,10238,1433,blackspotted_rougheye_goa
2005,10223,1286,blackspotted_rougheye_goa
2006,10217,1027,blackspotted_rougheye_goa
2007,10172,978,blackspotted_rougheye_goa
2008,10108,958,blackspotted_rougheye_goa
2009,10072,1205,blackspotted_rougheye_goa
2010,10082,785,blackspotted_rougheye_goa
2011,10034,1030,blackspotted_rougheye_goa
2012,9945,1368,blackspotted_rougheye_goa
2013,9846,2150,blackspotted_rougheye_goa
2014,9747,772,blackspotted_rougheye_goa
2015,9603,729,blackspotted_rougheye_goa
2016,9509,896,blackspotted_rougheye_goa
2017,9370,982,blackspotted_rougheye_goa
2018,9283,980,blackspotted_rougheye_goa
2019,9108,1048,blackspotted_rougheye_goa
2020,8922,1111,blackspotted_rougheye_goa
2021,8685,1159,blackspotted_rougheye_goa
