year,sbiomass,recruits,stock_name
1991,67499,7070000,kamchatka_flounder
1992,66916,12750000,kamchatka_flounder
1993,67127,7210000,kamchatka_flounder
1994,68004,3520000,kamchatka_flounder
1995,69082,5560000,kamchatka_flounder
1996,70601,9730000,kamchatka_flounder
1997,71444,17450000,kamchatka_flounder
1998,71790,15240000,kamchatka_flounder
1999,71066,16970000,kamchatka_flounder
2000,69952,6880000,kamchatka_flounder
2001,68286,10980000,kamchatka_flounder
2002,66312,23310000,kamchatka_flounder
2003,64483,37460000,kamchatka_flounder
2004,62808,61850000,kamchatka_flounder
2005,61322,19990000,kamchatka_flounder
2006,60677,9270000,kamchatka_flounder
2007,60554,13880000,kamchatka_flounder
2008,61015,14680000,kamchatka_flounder
2009,59207,13760000,kamchatka_flounder
2010,55121,40900000,kamchatka_flounder
2011,48541,23250000,kamchatka_flounder
2012,48335,28930000,kamchatka_flounder
2013,48193,12030000,kamchatka_flounder
2014,48174,19410000,kamchatka_flounder
2015,48164,34000000,kamchatka_flounder
2016,48797,34600000,kamchatka_flounder
2017,49893,19310000,kamchatka_flounder
2018,51809,23590000,kamchatka_flounder
2019,54948,6250000,kamchatka_flounder
2020,57485,11690000,kamchatka_flounder
