year,recruits,sbiomass,stock_name
1977,33700000,19509,northern_rockfish_goa
1978,57100000,21720,northern_rockfish_goa
1979,45700000,24584,northern_rockfish_goa
1980,20300000,27962,northern_rockfish_goa
1981,15200000,31621,northern_rockfish_goa
1982,26100000,35071,northern_rockfish_goa
1983,30100000,37429,northern_rockfish_goa
1984,45800000,39922,northern_rockfish_goa
1985,19000000,43788,northern_rockfish_goa
1986,62900000,48456,northern_rockfish_goa
1987,31700000,53438,northern_rockfish_goa
1988,14600000,58283,northern_rockfish_goa
1989,20200000,62494,northern_rockfish_goa
1990,23300000,66113,northern_rockfish_goa
1991,9800000,69455,northern_rockfish_goa
1992,20500000,71620,northern_rockfish_goa
1993,13800000,72490,northern_rockfish_goa
1994,13100000,74558,northern_rockfish_goa
1995,9500000,75846,northern_rockfish_goa
1996,52500000,76658,northern_rockfish_goa
1997,34800000,77723,northern_rockfish_goa
1998,20800000,78249,northern_rockfish_goa
1999,23500000,78136,northern_rockfish_goa
2000,40300000,76539,northern_rockfish_goa
2001,15700000,75697,northern_rockfish_goa
2002,11700000,74996,northern_rockfish_goa
2003,14100000,74530,northern_rockfish_goa
2004,6600000,73765,northern_rockfish_goa
2005,3200000,73724,northern_rockfish_goa
2006,3200000,74099,northern_rockfish_goa
2007,5200000,74288,northern_rockfish_goa
2008,5000000,74569,northern_rockfish_goa
2009,6700000,74457,northern_rockfish_goa
2010,6900000,73759,northern_rockfish_goa
2011,5300000,72362,northern_rockfish_goa
2012,5400000,70476,northern_rockfish_goa
2013,4400000,67227,northern_rockfish_goa
2014,5400000,63650,northern_rockfish_goa
2015,6400000,60139,northern_rockfish_goa
2016,8400000,56731,northern_rockfish_goa
2017,7900000,53622,northern_rockfish_goa
2018,9400000,51370,northern_rockfish_goa
2019,9700000,48961,northern_rockfish_goa
2020,10600000,46462,northern_rockfish_goa
