year,sbiomass,sbio_cv,recruits,rec_cv,stock_name
1977,39778,0.235,110247,0.583,ns_rock_sole_goa
1978,39588,0.237,113088,0.582,ns_rock_sole_goa
1979,39435,0.238,113638,0.575,ns_rock_sole_goa
1980,39232,0.239,108460,0.564,ns_rock_sole_goa
1981,39088,0.239,105647,0.552,ns_rock_sole_goa
1982,38828,0.238,105817,0.542,ns_rock_sole_goa
1983,39461,0.231,104717,0.541,ns_rock_sole_goa
1984,39762,0.223,120188,0.544,ns_rock_sole_goa
1985,40514,0.212,146158,0.537,ns_rock_sole_goa
1986,41502,0.2,147955,0.558,ns_rock_sole_goa
1987,42321,0.188,197299,0.438,ns_rock_sole_goa
1988,42367,0.178,114163,0.484,ns_rock_sole_goa
1989,42680,0.166,95433,0.427,ns_rock_sole_goa
1990,42572,0.156,97278,0.376,ns_rock_sole_goa
1991,42822,0.144,97276,0.328,ns_rock_sole_goa
1992,43820,0.13,81053,0.316,ns_rock_sole_goa
1993,45109,0.114,85635,0.292,ns_rock_sole_goa
1994,46319,0.099,125667,0.208,ns_rock_sole_goa
1995,47105,0.088,105726,0.201,ns_rock_sole_goa
1996,46310,0.08,111920,0.192,ns_rock_sole_goa
1997,44328,0.076,181730,0.144,ns_rock_sole_goa
1998,42459,0.073,146864,0.169,ns_rock_sole_goa
1999,41152,0.07,252705,0.129,ns_rock_sole_goa
2000,40508,0.068,129503,0.184,ns_rock_sole_goa
2001,39860,0.067,59257,0.222,ns_rock_sole_goa
2002,39596,0.067,43697,0.239,ns_rock_sole_goa
2003,39973,0.066,89054,0.183,ns_rock_sole_goa
2004,42343,0.064,110430,0.175,ns_rock_sole_goa
2005,45966,0.061,130629,0.156,ns_rock_sole_goa
2006,50034,0.059,70192,0.202,ns_rock_sole_goa
2007,50698,0.058,45928,0.216,ns_rock_sole_goa
2008,47796,0.06,36917,0.241,ns_rock_sole_goa
2009,43677,0.062,61832,0.226,ns_rock_sole_goa
2010,40860,0.064,119672,0.202,ns_rock_sole_goa
2011,40097,0.064,173354,0.179,ns_rock_sole_goa
2012,39800,0.065,89313,0.213,ns_rock_sole_goa
2013,38322,0.066,59653,0.261,ns_rock_sole_goa
2014,35350,0.069,76027,0.275,ns_rock_sole_goa
2015,32436,0.071,125801,0.315,ns_rock_sole_goa
2016,31070,0.073,184163,0.328,ns_rock_sole_goa
2017,31992,0.076,248679,0.359,ns_rock_sole_goa
2018,34438,0.079,95889,0.51,ns_rock_sole_goa
2019,35354,0.083,106621,0.578,ns_rock_sole_goa
2020,34903,0.087,114129,0.601,ns_rock_sole_goa
2021,34605,0.093,115216,0.604,ns_rock_sole_goa
