year,recruits,sbiomass,stock_name
1977,1208000000,110410,pacific_cod_goa
1978,378000000,119850,pacific_cod_goa
1979,370000000,117990,pacific_cod_goa
1980,624000000,120265,pacific_cod_goa
1981,690000000,143780,pacific_cod_goa
1982,756000000,166785,pacific_cod_goa
1983,539000000,172375,pacific_cod_goa
1984,709000000,173590,pacific_cod_goa
1985,887000000,188540,pacific_cod_goa
1986,499000000,211100,pacific_cod_goa
1987,588000000,227490,pacific_cod_goa
1988,598000000,233010,pacific_cod_goa
1989,632000000,243170,pacific_cod_goa
1990,749000000,243230,pacific_cod_goa
1991,445000000,223300,pacific_cod_goa
1992,385000000,205080,pacific_cod_goa
1993,310000000,191450,pacific_cod_goa
1994,348000000,194485,pacific_cod_goa
1995,438000000,194410,pacific_cod_goa
1996,309000000,172765,pacific_cod_goa
1997,294000000,146845,pacific_cod_goa
1998,272000000,123625,pacific_cod_goa
1999,367000000,110480,pacific_cod_goa
2000,439000000,97345,pacific_cod_goa
2001,251000000,87890,pacific_cod_goa
2002,193000000,83510,pacific_cod_goa
2003,244000000,82880,pacific_cod_goa
2004,308000000,83425,pacific_cod_goa
2005,420000000,79040,pacific_cod_goa
2006,687000000,70960,pacific_cod_goa
2007,443000000,62375,pacific_cod_goa
2008,652000000,58345,pacific_cod_goa
2009,392000000,63025,pacific_cod_goa
2010,507000000,82160,pacific_cod_goa
2011,655000000,93315,pacific_cod_goa
2012,1215000000,99360,pacific_cod_goa
2013,638000000,102620,pacific_cod_goa
2014,211000000,106775,pacific_cod_goa
2015,260000000,78265,pacific_cod_goa
2016,168000000,62895,pacific_cod_goa
2017,246000000,44961,pacific_cod_goa
2018,390000000,35940,pacific_cod_goa
2019,399000000,34794,pacific_cod_goa
