year,recruits,rec_cv,sbiomass,sbio_cv,stock_name
1977,25732,0.323,122530,0.114,pop_bsai
1978,24379,0.361,116790,0.118,pop_bsai
1979,63282,0.23,112660,0.122,pop_bsai
1980,57031,0.297,109500,0.126,pop_bsai
1981,40591,0.456,107510,0.129,pop_bsai
1982,73435,0.436,106300,0.13,pop_bsai
1983,103080,0.428,106790,0.131,pop_bsai
1984,149310,0.314,108260,0.135,pop_bsai
1985,85542,0.428,110930,0.141,pop_bsai
1986,64083,0.474,115200,0.149,pop_bsai
1987,351940,0.14,120950,0.159,pop_bsai
1988,61922,0.513,128240,0.17,pop_bsai
1989,160970,0.215,137490,0.183,pop_bsai
1990,70959,0.414,147320,0.195,pop_bsai
1991,235510,0.178,156510,0.204,pop_bsai
1992,127170,0.278,170620,0.212,pop_bsai
1993,75291,0.32,184740,0.218,pop_bsai
1994,35735,0.414,199260,0.216,pop_bsai
1995,55239,0.282,215200,0.206,pop_bsai
1996,44733,0.376,230170,0.195,pop_bsai
1997,145160,0.198,242990,0.188,pop_bsai
1998,114290,0.278,255140,0.179,pop_bsai
1999,245190,0.172,265470,0.166,pop_bsai
2000,55130,0.436,271840,0.152,pop_bsai
2001,211120,0.178,277180,0.144,pop_bsai
2002,67066,0.411,281850,0.143,pop_bsai
2003,320840,0.158,286870,0.15,pop_bsai
2004,44574,0.496,293310,0.159,pop_bsai
2005,113580,0.245,303390,0.167,pop_bsai
2006,45252,0.485,315270,0.172,pop_bsai
2007,158450,0.245,326580,0.174,pop_bsai
2008,189320,0.247,336410,0.176,pop_bsai
2009,92425,0.383,346670,0.177,pop_bsai
2010,87086,0.378,356000,0.174,pop_bsai
2011,232910,0.214,361740,0.169,pop_bsai
2012,50736,0.474,363420,0.168,pop_bsai
2013,57068,0.412,363670,0.171,pop_bsai
2014,97807,0.339,361380,0.177,pop_bsai
2015,71370,0.428,359010,0.183,pop_bsai
2016,51273,0.514,356510,0.188,pop_bsai
2017,88687,0.466,353150,0.192,pop_bsai
