year,recruits,sbiomass,stock_name
1977,37131,40061,pop_goa
1978,58312,35843,pop_goa
1979,44463,36619,pop_goa
1980,39143,37066,pop_goa
1981,40614,36255,pop_goa
1982,52026,35417,pop_goa
1983,53390,36779,pop_goa
1984,55555,39539,pop_goa
1985,80342,42759,pop_goa
1986,120774,47141,pop_goa
1987,112743,51235,pop_goa
1988,176121,54586,pop_goa
1989,138034,56600,pop_goa
1990,109953,57924,pop_goa
1991,54357,59896,pop_goa
1992,65054,66091,pop_goa
1993,66738,74354,pop_goa
1994,75199,86275,pop_goa
1995,61039,99781,pop_goa
1996,138369,112136,pop_goa
1997,151075,122223,pop_goa
1998,88732,129625,pop_goa
1999,109736,134973,pop_goa
2000,222337,137992,pop_goa
2001,138211,140535,pop_goa
2002,207952,143211,pop_goa
2003,113829,146719,pop_goa
2004,165379,152218,pop_goa
2005,67722,158925,pop_goa
2006,110798,167196,pop_goa
2007,84172,175850,pop_goa
2008,198643,185627,pop_goa
2009,145129,195869,pop_goa
2010,215364,205126,pop_goa
2011,70905,211665,pop_goa
2012,139657,216967,pop_goa
2013,51312,220585,pop_goa
2014,121218,224485,pop_goa
2015,83036,226878,pop_goa
2016,108719,229510,pop_goa
2017,73482,230379,pop_goa
2018,239024,229894,pop_goa
2019,119324,227341,pop_goa
2020,84073,213505,pop_goa
