year,recruits,sbiomass,stock_name
1977,4390000,137000,sablefish_alaska
1978,5120000,124000,sablefish_alaska
1979,83730000,118000,sablefish_alaska
1980,25390000,113000,sablefish_alaska
1981,10410000,111000,sablefish_alaska
1982,40940000,116000,sablefish_alaska
1983,23990000,128000,sablefish_alaska
1984,40980000,145000,sablefish_alaska
1985,2330000,160000,sablefish_alaska
1986,20410000,173000,sablefish_alaska
1987,17280000,179000,sablefish_alaska
1988,3920000,178000,sablefish_alaska
1989,3750000,171000,sablefish_alaska
1990,5700000,160000,sablefish_alaska
1991,28020000,148000,sablefish_alaska
1992,1240000,136000,sablefish_alaska
1993,22370000,124000,sablefish_alaska
1994,4990000,113000,sablefish_alaska
1995,5090000,104000,sablefish_alaska
1996,7150000,99000,sablefish_alaska
1997,16880000,96000,sablefish_alaska
1998,2170000,92000,sablefish_alaska
1999,27540000,89000,sablefish_alaska
2000,18160000,85000,sablefish_alaska
2001,8280000,82000,sablefish_alaska
2002,40410000,81000,sablefish_alaska
2003,6020000,83000,sablefish_alaska
2004,12280000,85000,sablefish_alaska
2005,5420000,89000,sablefish_alaska
2006,10140000,94000,sablefish_alaska
2007,7060000,97000,sablefish_alaska
2008,7990000,97000,sablefish_alaska
2009,6790000,96000,sablefish_alaska
2010,16040000,93000,sablefish_alaska
2011,4380000,89000,sablefish_alaska
2012,8500000,85000,sablefish_alaska
2013,910000,81000,sablefish_alaska
2014,6130000,77000,sablefish_alaska
2015,9900000,73000,sablefish_alaska
2016,67730000,70000,sablefish_alaska
2017,26630000,66000,sablefish_alaska
2018,163650000,65000,sablefish_alaska
