year,recruits,sbiomass,stock_name
1954,1877000000,884722,yellowfin_sole_bsai
1955,2057000000,892774,yellowfin_sole_bsai
1956,1674000000,884073,yellowfin_sole_bsai
1957,1446000000,861259,yellowfin_sole_bsai
1958,5454000000,827415,yellowfin_sole_bsai
1959,3670000000,755336,yellowfin_sole_bsai
1960,2362000000,575442,yellowfin_sole_bsai
1961,1977000000,286991,yellowfin_sole_bsai
1962,1088000000,99655,yellowfin_sole_bsai
1963,2063000000,118327,yellowfin_sole_bsai
1964,1076000000,138213,yellowfin_sole_bsai
1965,999000000,162997,yellowfin_sole_bsai
1966,1310000000,195037,yellowfin_sole_bsai
1967,1359000000,202923,yellowfin_sole_bsai
1968,2907000000,197797,yellowfin_sole_bsai
1969,4532000000,184560,yellowfin_sole_bsai
1970,4690000000,136760,yellowfin_sole_bsai
1971,6200000000,112496,yellowfin_sole_bsai
1972,6898000000,91698,yellowfin_sole_bsai
1973,5427000000,93427,yellowfin_sole_bsai
1974,3758000000,103335,yellowfin_sole_bsai
1975,5046000000,157584,yellowfin_sole_bsai
1976,5913000000,224580,yellowfin_sole_bsai
1977,3879000000,329159,yellowfin_sole_bsai
1978,4875000000,465287,yellowfin_sole_bsai
1979,3193000000,609933,yellowfin_sole_bsai
1980,2044000000,773293,yellowfin_sole_bsai
1981,3971000000,927400,yellowfin_sole_bsai
1982,2983000000,1016570,yellowfin_sole_bsai
1983,8682000000,1144750,yellowfin_sole_bsai
1984,1608000000,1247780,yellowfin_sole_bsai
1985,7192000000,1314650,yellowfin_sole_bsai
1986,2492000000,1310280,yellowfin_sole_bsai
1987,1916000000,1313610,yellowfin_sole_bsai
1988,2621000000,1252240,yellowfin_sole_bsai
1989,3599000000,1227990,yellowfin_sole_bsai
1990,3604000000,1243850,yellowfin_sole_bsai
1991,1801000000,1339640,yellowfin_sole_bsai
1992,2026000000,1442100,yellowfin_sole_bsai
1993,4499000000,1497570,yellowfin_sole_bsai
1994,2683000000,1503800,yellowfin_sole_bsai
1995,2258000000,1504890,yellowfin_sole_bsai
1996,2264000000,1423790,yellowfin_sole_bsai
1997,5566000000,1382480,yellowfin_sole_bsai
1998,2401000000,1299720,yellowfin_sole_bsai
1999,1990000000,1283210,yellowfin_sole_bsai
2000,2430000000,1262580,yellowfin_sole_bsai
2001,3405000000,1252550,yellowfin_sole_bsai
2002,2209000000,1246590,yellowfin_sole_bsai
2003,2979000000,1254250,yellowfin_sole_bsai
2004,2868000000,1290820,yellowfin_sole_bsai
2005,4423000000,1312030,yellowfin_sole_bsai
2006,2005000000,1343430,yellowfin_sole_bsai
2007,2272000000,1356430,yellowfin_sole_bsai
2008,2746000000,1329770,yellowfin_sole_bsai
2009,2507000000,1284240,yellowfin_sole_bsai
2010,3059000000,1255370,yellowfin_sole_bsai
2011,4305000000,1225310,yellowfin_sole_bsai
2012,1522000000,1201050,yellowfin_sole_bsai
2013,743000000,1185240,yellowfin_sole_bsai
2014,1990000000,1132950,yellowfin_sole_bsai
2015,2100000000,1120640,yellowfin_sole_bsai
2016,3617000000,1117570,yellowfin_sole_bsai
2017,5428000000,1088840,yellowfin_sole_bsai
2018,7563000000,1086590,yellowfin_sole_bsai
2019,2563000000,1100300,yellowfin_sole_bsai
2020,2797000000,1086650,yellowfin_sole_bsai
