year,recruits
1977,356000000
1978,2073000000
1979,518000000
1980,305000000
1981,334000000
1982,214000000
1983,291000000
1984,317000000
1985,508000000
1986,438000000
1987,601000000
1988,479000000
1989,1210000000
1990,572000000
1991,333000000
1992,522000000
1993,874000000
1994,346000000
1995,342000000
1996,888000000
1997,204000000
1998,317000000
1999,745000000
2000,1692000000
2001,1100000000
2002,1235000000
2003,265000000
2004,356000000
2005,481000000
2006,335000000
2007,893000000
2008,766000000
2009,235000000
2010,511000000
2011,356000000
2012,530000000
2013,872000000
2014,603000000
2015,171000000
2016,492000000
2017,342000000
2018,424000000
2019,422000000
2020,447000000
