year,recruits
1975,280.48
1976,647.83
1977,359.74
1978,564.1
1979,547.12
1980,720.73
1981,1329.29
1982,1353.24
1983,1240.12
1984,2031.33
1985,1766.01
1986,1670.38
1987,2832.06
1988,4311.52
1989,1515.57
1990,1303.47
1991,2904.2
1992,1431.87
1993,743.06
1994,1085.82
1995,586.84
1996,566.99
1997,784.06
1998,461.04
1999,735.79
2000,657.18
2001,1420.86
2002,2227.28
2003,2621.85
2004,1935.47
2005,1616.64
2006,1902.67
2007,597.37
2008,241.22
2009,174.27
2010,119.26
2011,248.65
2012,310.13
2013,476.11
2014,249.76
2015,1462.32
2016,2356.94
2017,4405.59
2018,4156.65
2019,875.65
2020,942.19
