year,recruits,sbiomass
1977,33700000,19509
1978,57100000,21720
1979,45700000,24584
1980,20300000,27962
1981,15200000,31621
1982,26100000,35071
1983,30100000,37429
1984,45800000,39922
1985,19000000,43788
1986,62900000,48456
1987,31700000,53438
1988,14600000,58283
1989,20200000,62494
1990,23300000,66113
1991,9800000,69455
1992,20500000,71620
1993,13800000,72490
1994,13100000,74558
1995,9500000,75846
1996,52500000,76658
1997,34800000,77723
1998,20800000,78249
1999,23500000,78136
2000,40300000,76539
2001,15700000,75697
2002,11700000,74996
2003,14100000,74530
2004,6600000,73765
2005,3200000,73724
2006,3200000,74099
2007,5200000,74288
2008,5000000,74569
2009,6700000,74457
2010,6900000,73759
2011,5300000,72362
2012,5400000,70476
2013,4400000,67227
2014,5400000,63650
2015,6400000,60139
2016,8400000,56731
2017,7900000,53622
2018,9400000,51370
2019,9700000,48961
2020,10600000,46462
