year,recruits
1977,1208000000
1978,378000000
1979,370000000
1980,624000000
1981,690000000
1982,756000000
1983,539000000
1984,709000000
1985,887000000
1986,499000000
1987,588000000
1988,598000000
1989,632000000
1990,749000000
1991,445000000
1992,385000000
1993,310000000
1994,348000000
1995,438000000
1996,309000000
1997,294000000
1998,272000000
1999,367000000
2000,439000000
2001,251000000
2002,193000000
2003,244000000
2004,308000000
2005,420000000
2006,687000000
2007,443000000
2008,652000000
2009,392000000
2010,507000000
2011,655000000
2012,1215000000
2013,638000000
2014,211000000
2015,260000000
2016,168000000
2017,246000000
2018,390000000
2019,399000000
2020,464000000
