year,recruits
1977,37131
1978,58312
1979,44463
1980,39143
1981,40614
1982,52026
1983,53390
1984,55555
1985,80342
1986,120774
1987,112743
1988,176121
1989,138034
1990,109953
1991,54357
1992,65054
1993,66738
1994,75199
1995,61039
1996,138369
1997,151075
1998,88732
1999,109736
2000,222337
2001,138211
2002,207952
2003,113829
2004,165379
2005,67722
2006,110798
2007,84172
2008,198643
2009,145129
2010,215364
2011,70905
2012,139657
2013,51312
2014,121218
2015,83036
2016,108719
2017,73482
2018,239024
2019,119324
2020,84073
