year,recruits
1977,4390000
1978,5120000
1979,83730000
1980,25390000
1981,10410000
1982,40940000
1983,23990000
1984,40980000
1985,2330000
1986,20410000
1987,17280000
1988,3920000
1989,3750000
1990,5700000
1991,28020000
1992,1240000
1993,22370000
1994,4990000
1995,5090000
1996,7150000
1997,16880000
1998,2170000
1999,27540000
2000,18160000
2001,8280000
2002,40410000
2003,6020000
2004,12280000
2005,5420000
2006,10140000
2007,7060000
2008,7990000
2009,6790000
2010,16040000
2011,4380000
2012,8500000
2013,910000
2014,6130000
2015,9900000
2016,67730000
2017,26630000
2018,163650000
