Area Yr Era Seas Bio_all Bio_smry SpawnBio Recruit_0  Spbio_GP:1 SmryBio_SX:1_GP:1 SmryBio_SX:2_GP:1 SmryNum_SX:1_GP:1 SmryNum_SX:2_GP:1 sel(B):_1 dead(B):_1 retain(B):_1 sel(N):_1 dead(N):_1 retain(N):_1 obs_cat:_1 Hrate:_1 sel(B):_2 dead(B):_2 retain(B):_2 sel(N):_2 dead(N):_2 retain(N):_2 obs_cat:_2 Hrate:_2 sel(B):_3 dead(B):_3 retain(B):_3 sel(N):_3 dead(N):_3 retain(N):_3 obs_cat:_3 Hrate:_3 SPB_vir_LH
1 1938 VIRG 1 9119.16 9040.53 1355.83 2101.57  1355.83  4459.04 4581.49  4290.38 5026.38 0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  1355.83
1 1939 INIT 1 9119.16 9040.53 1355.83 2101.57  1355.83  4459.04 4581.49  4290.38 5026.38  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0 1355.83
1 1940 TIME 1 9119.16 9040.53 1355.83 2101.58  1355.83  4459.04 4581.49  4290.38 5026.38  25.0717 25.0717 25.0717 13.1913 13.1913 13.1913 25.0717 0.00554528  0 0 0 0 0 0 0 0  1 1 1 0.665906 0.665906 0.665906 1 0.000134685 1355.83
1 1941 TIME 1 9096.12 9017.49 1349.75 2100.88  1349.75  4445.71 4571.78  4283.99 5020.05  53.4047 53.4047 53.4047 28.1113 28.1113 28.1113 53.4047 0.0118566  1.39333 1.39333 1.39333 0.918267 0.918267 0.918267 1.39333 0.000190066  1 1 1 0.666322 0.666322 0.666322 1 0.000135074 1349.75
1 1942 TIME 1 9049.21 8970.59 1337.19 2099.43  1337.19  4418.59 4552  4271.24 5007.29  103.892 103.892 103.892 54.7412 54.7412 54.7412 103.892 0.0232467  0.26186 0.26186 0.26186 0.172805 0.172805 0.172805 0.26186 3.5935e-005  1 1 1 0.667212 0.667212 0.667212 1 0.000135875 1337.19
1 1943 TIME 1 8963.85 8885.28 1313.94 2096.67  1313.94  4369.03 4516.25  4248.33 4984.48  313.88 313.88 313.88 165.704 165.704 165.704 313.88 0.0712637  11.0165 11.0165 11.0165 7.28828 7.28828 7.28828 11.0165 0.00152849  1 1 1 0.668922 0.668922 0.668922 1 0.000137355 1313.94
1 1944 TIME 1 8692.62 8614.16 1241.62 2087.48  1241.62  4212.6 4401.56  4174.47 4910.25  490.064 490.064 490.064 260.314 260.314 260.314 490.064 0.11663  0.0805121 0.0805121 0.0805121 0.0536929 0.0536929 0.0536929 0.0805121 1.15767e-005  1 1 1 0.674371 0.674371 0.674371 1 0.00014228 1241.62
1 1945 TIME 1 8305.4 8227.11 1136.81 2072.27  1136.81  3989.3 4237.81  4070.7 4805.28  732.621 732.621 732.621 393.171 393.171 393.171 732.621 0.187428  24.0583 24.0583 24.0583 16.2519 16.2519 16.2519 24.0583 0.00364864  1 1 1 0.683208 0.683208 0.683208 1 0.000149953 1136.81
1 1946 TIME 1 7724.64 7646.8 983.7 2044.8  983.7  3660.02 3986.78  3915.34 4642.69  418.199 418.199 418.199 228.405 228.405 228.405 418.199 0.120368  0.0898921 0.0898921 0.0898921 0.0620144 0.0620144 0.0620144 0.0898921 1.48496e-005  1 1 1 0.697879 0.697879 0.697879 1 0.000163128 983.7
1 1947 TIME 1 7504.62 7427.34 920.749 2031.13  920.749  3537.61 3889.73  3862.71 4581.54  348.558 348.558 348.558 192.259 192.259 192.259 348.558 0.105703  0.416033 0.416033 0.416033 0.290103 0.290103 0.290103 0.416033 7.1113e-005  1 1 1 0.705431 0.705431 0.705431 1 0.000168689 920.749
1 1948 TIME 1 7370.28 7293.95 881.301 2021.67  881.301  3464.77 3829.18  3830.48 4540.8  240.372 240.372 240.372 133.57 133.57 133.57 240.372 0.0754174  0.886506 0.886506 0.886506 0.622741 0.622741 0.622741 0.886506 0.000154739  1 1 1 0.710653 0.710653 0.710653 1 0.000172191 881.301
1 1949 TIME 1 7344.4 7268.53 870.798 2019.03  870.798  3452.82 3815.7  3820.99 4524.04  307.2 307.2 307.2 171.294 171.294 171.294 307.2 0.0971998  0.368213 0.368213 0.368213 0.259343 0.259343 0.259343 0.368213 6.44724e-005  0.616878 0.616878 0.616878 0.439531 0.439531 0.439531 0.616878 0.000106543 870.798
1 1950 TIME 1 7262.66 7187.13 849.884 1692.04  849.884  3410.16 3776.97  3792.24 4488.27  228.1 228.1 228.1 127.754 127.754 127.754 228.1 0.0735514  3.01814 3.01814 3.01814 2.13394 2.13394 2.13394 3.01814 0.000534836  3.69376 3.69376 3.69376 2.6419 2.6419 2.6419 3.69376 0.000645537 849.884
1 1951 TIME 1 7248.85 7175.08 847.828 1696.35  847.828  3406.9 3768.18  3782.56 4472.31  190.5 190.5 190.5 106.636 106.636 106.636 190.5 0.061527  2.40715 2.40715 2.40715 1.70118 1.70118 1.70118 2.40715 0.000426767  4.30774 4.30774 4.30774 3.07956 3.07956 3.07956 4.30774 0.000753228 847.828
1 1952 TIME 1 7257.73 7194.45 854.984 1698.78  854.984  3421.25 3773.21  3782.96 4467.72  239.868 239.868 239.868 133.956 133.956 133.956 239.868 0.0769534  2.55592 2.55592 2.55592 1.80208 1.80208 1.80208 2.55592 0.000451133  9.96273 9.96273 9.96273 7.10524 7.10524 7.10524 9.96273 0.00173459 854.984
1 1953 TIME 1 7195.32 7131.9 851.276 1704.63  851.276  3390.84 3741.06  3669.08 4343.48  191.409 191.409 191.409 106.79 106.79 106.79 191.409 0.0616772  1.50731 1.50731 1.50731 1.0619 1.0619 1.0619 1.50731 0.000267319  5.46917 5.46917 5.46917 3.89738 3.89738 3.89738 5.46917 0.00095682 851.276
1 1954 TIME 1 7160.48 7096.94 858.517 1680.12  858.517  3377.93 3719.02  3587.27 4252.08  207.027 207.027 207.027 115.25 115.25 115.25 207.027 0.0663172  3.09107 3.09107 3.09107 2.17141 2.17141 2.17141 3.09107 0.000546953  10.4193 10.4193 10.4193 7.4035 7.4035 7.4035 10.4193 0.001819 858.517
1 1955 TIME 1 7084.31 7020.72 860.711 1536.4  860.711  3344.63 3676.09  3512.85 4167.71  224.292 224.292 224.292 124.638 124.638 124.638 224.292 0.0718097  1.46345 1.46345 1.46345 1.02402 1.02402 1.02402 1.46345 0.000260032  11.5588 11.5588 11.5588 8.17985 8.17985 8.17985 11.5588 0.00202701 860.711
1 1956 TIME 1 6977.9 6915.85 858.315 1336.01  858.315  3296.43 3619.42  3447.18 4092.51  157.743 157.743 157.743 87.4541 87.4541 87.4541 157.743 0.0507253  1.97202 1.97202 1.97202 1.37268 1.37268 1.37268 1.97202 0.000354441  20.4199 20.4199 20.4199 14.3716 14.3716 14.3716 20.4199 0.00362427 858.315
1 1957 TIME 1 6907.49 6851.09 866.694 1229.84  866.694  3271.67 3579.42  3398.02 4033.27  245.335 245.335 245.335 135.269 135.269 135.269 245.335 0.0785208  0.949362 0.949362 0.949362 0.655786 0.655786 0.655786 0.949362 0.00017194  22.4677 22.4677 22.4677 15.6895 15.6895 15.6895 22.4677 0.00402084 866.694
1 1958 TIME 1 6736.98 6687.6 852.72 1245.72  852.72  3191.51 3496.09  3290.2 3913.33  273.848 273.848 273.848 150.383 150.383 150.383 273.848 0.0892012  1.86065 1.86065 1.86065 1.28052 1.28052 1.28052 1.86065 0.000345336  18.6404 18.6404 18.6404 12.9692 12.9692 12.9692 18.6404 0.0034192 852.72
1 1959 TIME 1 6524.36 6478.31 829.347 1344.6  829.347  3086.32 3391.99  3131 3738.66  136.498 136.498 136.498 74.7663 74.7663 74.7663 136.498 0.0456928  0.895657 0.895657 0.895657 0.61578 0.61578 0.61578 0.895657 0.000171242  26.2989 26.2989 26.2989 18.2819 18.2819 18.2819 26.2989 0.0049688 829.347
1 1960 TIME 1 6408.26 6361.16 830.981 1498.32  830.981  3035.45 3325.7  2995.81 3585.77  160.063 160.063 160.063 87.3126 87.3126 87.3126 160.063 0.0537375  1.8095 1.8095 1.8095 1.23827 1.23827 1.23827 1.8095 0.000349487  12.7472 12.7472 12.7472 8.82002 8.82002 8.82002 12.7472 0.00243341 830.981
