Area,Yr,Era,SpawnBio,Recruit_0,stock_name
1,1950,TIME,849.884,1692.04,black_wa
1,1951,TIME,847.828,1696.35,black_wa
1,1952,TIME,854.984,1698.78,black_wa
1,1953,TIME,851.276,1704.63,black_wa
1,1954,TIME,858.517,1680.12,black_wa
1,1955,TIME,860.711,1536.4,black_wa
1,1956,TIME,858.315,1336.01,black_wa
1,1957,TIME,866.694,1229.84,black_wa
1,1958,TIME,852.72,1245.72,black_wa
1,1959,TIME,829.347,1344.6,black_wa
1,1960,TIME,830.981,1498.32,black_wa
1,1961,TIME,826.257,1482.62,black_wa
1,1962,TIME,819.054,1442.02,black_wa
1,1963,TIME,772.499,2013.06,black_wa
1,1964,TIME,753.833,1794.32,black_wa
1,1965,TIME,730.236,1380.34,black_wa
1,1966,TIME,716.637,1513.79,black_wa
1,1967,TIME,683.828,1753.32,black_wa
1,1968,TIME,654.022,3346.17,black_wa
1,1969,TIME,637.697,1260.71,black_wa
1,1970,TIME,627.598,1265.94,black_wa
1,1971,TIME,628.196,1940.4,black_wa
1,1972,TIME,635.515,1627.19,black_wa
1,1973,TIME,635.329,2041.54,black_wa
1,1974,TIME,640.278,3124.17,black_wa
1,1975,TIME,650.392,1543.93,black_wa
1,1976,TIME,662.104,2460.9,black_wa
1,1977,TIME,651.455,1797.16,black_wa
1,1978,TIME,639.192,2795.09,black_wa
1,1979,TIME,630.347,2474.41,black_wa
1,1980,TIME,620.493,2133.25,black_wa
1,1981,TIME,587.789,2152.07,black_wa
1,1982,TIME,516.988,1676.67,black_wa
1,1983,TIME,480.39,2947.27,black_wa
1,1984,TIME,471.527,1966.84,black_wa
1,1985,TIME,466.309,2435.56,black_wa
1,1986,TIME,457.13,1457.9,black_wa
1,1987,TIME,447.537,2570.96,black_wa
1,1988,TIME,431.02,1914.77,black_wa
1,1989,TIME,416.899,2760.36,black_wa
1,1990,TIME,398.266,2157.83,black_wa
1,1991,TIME,395.048,1451,black_wa
1,1992,TIME,405.787,1489.77,black_wa
1,1993,TIME,421.071,1193.64,black_wa
1,1994,TIME,430.913,2245.94,black_wa
1,1995,TIME,440.651,1347.42,black_wa
1,1996,TIME,465.715,1014.08,black_wa
1,1997,TIME,498.837,2007.68,black_wa
1,1998,TIME,535.582,1122.48,black_wa
1,1999,TIME,553.562,2595.29,black_wa
1,2000,TIME,576.549,1701.55,black_wa
1,2001,TIME,590.827,947.651,black_wa
1,2002,TIME,603.938,1027.07,black_wa
1,2003,TIME,606.282,2314.76,black_wa
1,2004,TIME,603.433,1571.98,black_wa
1,2005,TIME,593.925,1772.71,black_wa
1,2006,TIME,575.956,3518.39,black_wa
1,2007,TIME,563.683,1739.28,black_wa
1,2008,TIME,557.159,3345.58,black_wa
1,2009,TIME,557.678,517.92,black_wa
1,2010,TIME,550.631,2669.82,black_wa
1,2011,TIME,549.699,1157.14,black_wa
1,2012,TIME,552.12,1898.71,black_wa
1,2013,TIME,556.614,1901.21,black_wa
1,2014,TIME,567.001,1906.86,black_wa
