Area,Yr,Era,SpawnBio,Recruit_0,stock_name
1,1960,TIME,3400000,10698.4,bocaccio
1,1961,TIME,3390000,10137.1,bocaccio
1,1962,TIME,3590000,11546.9,bocaccio
1,1963,TIME,3920000,11048.4,bocaccio
1,1964,TIME,4250000,10474.1,bocaccio
1,1965,TIME,4700000,54356.2,bocaccio
1,1966,TIME,5150000,9684.58,bocaccio
1,1967,TIME,5700000,10410.7,bocaccio
1,1968,TIME,6840000,13330.4,bocaccio
1,1969,TIME,7940000,16515.7,bocaccio
1,1970,TIME,8700000,16270.3,bocaccio
1,1971,TIME,9170000,6604.49,bocaccio
1,1972,TIME,9630000,13721.2,bocaccio
1,1973,TIME,9810000,20490.2,bocaccio
1,1974,TIME,9170000,15858,bocaccio
1,1975,TIME,8220000,7386.82,bocaccio
1,1976,TIME,7820000,1551.57,bocaccio
1,1977,TIME,7450000,36474.4,bocaccio
1,1978,TIME,7000000,24139.5,bocaccio
1,1979,TIME,6600000,5281.91,bocaccio
1,1980,TIME,6680000,3495.44,bocaccio
1,1981,TIME,7020000,1723.14,bocaccio
1,1982,TIME,6830000,752.215,bocaccio
1,1983,TIME,6030000,1102.2,bocaccio
1,1984,TIME,5050000,16386.1,bocaccio
1,1985,TIME,4110000,4063.54,bocaccio
1,1986,TIME,3540000,2026.4,bocaccio
1,1987,TIME,3280000,2573.13,bocaccio
1,1988,TIME,3100000,10761.9,bocaccio
1,1989,TIME,2840000,2597.87,bocaccio
1,1990,TIME,2510000,2391.75,bocaccio
1,1991,TIME,2360000,3366.98,bocaccio
1,1992,TIME,2320000,2539.22,bocaccio
1,1993,TIME,2180000,1769.38,bocaccio
1,1994,TIME,2040000,1898.13,bocaccio
1,1995,TIME,1920000,1241.68,bocaccio
1,1996,TIME,1840000,1257.7,bocaccio
1,1997,TIME,1780000,1739.73,bocaccio
1,1998,TIME,1700000,779.365,bocaccio
1,1999,TIME,1660000,11328.9,bocaccio
1,2000,TIME,1610000,1852.54,bocaccio
1,2001,TIME,1640000,1408.73,bocaccio
1,2002,TIME,1890000,1075.96,bocaccio
1,2003,TIME,2130000,3454.76,bocaccio
1,2004,TIME,2280000,1328.39,bocaccio
1,2005,TIME,2340000,2087.72,bocaccio
1,2006,TIME,2370000,1291.67,bocaccio
1,2007,TIME,2380000,1192.79,bocaccio
1,2008,TIME,2360000,977.548,bocaccio
1,2009,TIME,2310000,1949.49,bocaccio
1,2010,TIME,2220000,5459.32,bocaccio
1,2011,TIME,2130000,4593.51,bocaccio
1,2012,TIME,2080000,2830.57,bocaccio
1,2013,TIME,2140000,15581.5,bocaccio
1,2014,TIME,2270000,7744.29,bocaccio
1,2015,TIME,2500000,4222.87,bocaccio
