Area,Yr,Era,SpawnBio,Recruit_0,stock_name
1,1962,TIME,751.287,919.008,cabezon_ncs
1,1963,TIME,746.976,795.093,cabezon_ncs
1,1964,TIME,717.235,747.926,cabezon_ncs
1,1965,TIME,719.486,744.711,cabezon_ncs
1,1966,TIME,726.215,755.679,cabezon_ncs
1,1967,TIME,733.763,755.312,cabezon_ncs
1,1968,TIME,757.529,736.069,cabezon_ncs
1,1969,TIME,776.293,702.562,cabezon_ncs
1,1970,TIME,784.274,667.402,cabezon_ncs
1,1971,TIME,786.869,637.303,cabezon_ncs
1,1972,TIME,798.867,607.161,cabezon_ncs
1,1973,TIME,782.964,563.892,cabezon_ncs
1,1974,TIME,768.225,512.804,cabezon_ncs
1,1975,TIME,751.177,472.349,cabezon_ncs
1,1976,TIME,745.26,478.937,cabezon_ncs
1,1977,TIME,720.451,642.696,cabezon_ncs
1,1978,TIME,692.671,882.286,cabezon_ncs
1,1979,TIME,632.755,531.601,cabezon_ncs
1,1980,TIME,590.826,455.513,cabezon_ncs
1,1981,TIME,521.189,509.821,cabezon_ncs
1,1982,TIME,485.6,443.147,cabezon_ncs
1,1983,TIME,457.825,675.562,cabezon_ncs
1,1984,TIME,444.301,493.785,cabezon_ncs
1,1985,TIME,419.927,401.443,cabezon_ncs
1,1986,TIME,411.528,745.819,cabezon_ncs
1,1987,TIME,378.635,719.777,cabezon_ncs
1,1988,TIME,364.748,522.739,cabezon_ncs
1,1989,TIME,358.137,537.898,cabezon_ncs
1,1990,TIME,358.017,769.777,cabezon_ncs
1,1991,TIME,376.29,635.595,cabezon_ncs
1,1992,TIME,395.173,556.841,cabezon_ncs
1,1993,TIME,384.722,1003.68,cabezon_ncs
1,1994,TIME,400.282,619.748,cabezon_ncs
1,1995,TIME,419.756,498.211,cabezon_ncs
1,1996,TIME,406.97,381.861,cabezon_ncs
1,1997,TIME,390.773,551.791,cabezon_ncs
1,1998,TIME,374.367,729.488,cabezon_ncs
1,1999,TIME,305.838,501.562,cabezon_ncs
1,2000,TIME,273.98,361.355,cabezon_ncs
1,2001,TIME,257.651,291.711,cabezon_ncs
1,2002,TIME,268.595,349.518,cabezon_ncs
1,2003,TIME,292.06,479.138,cabezon_ncs
1,2004,TIME,279.267,584.175,cabezon_ncs
1,2005,TIME,271.337,827.428,cabezon_ncs
1,2006,TIME,267.534,935.739,cabezon_ncs
1,2007,TIME,280.564,508.965,cabezon_ncs
1,2008,TIME,310.358,484.75,cabezon_ncs
1,2009,TIME,365.65,556.571,cabezon_ncs
1,2010,TIME,433.334,788.641,cabezon_ncs
1,2011,TIME,491.161,801.555,cabezon_ncs
1,2012,TIME,511.85,885.427,cabezon_ncs
1,2013,TIME,523.58,535.031,cabezon_ncs
1,2014,TIME,550.668,533.717,cabezon_ncs
1,2015,TIME,578.671,667.23,cabezon_ncs
1,2016,TIME,604.73,1049.77,cabezon_ncs
1,2017,TIME,628.453,741.19,cabezon_ncs
1,2018,TIME,642.741,676.042,cabezon_ncs
