Area,Yr,Era,SpawnBio,Recruit_0,stock_name
1,1960,TIME,770.481,493.797,canary
1,1961,TIME,764.025,637.209,canary
1,1962,TIME,761.688,673.985,canary
1,1963,TIME,759.352,646.584,canary
1,1964,TIME,755.642,479.916,canary
1,1965,TIME,758.08,394.504,canary
1,1966,TIME,759.289,385.608,canary
1,1967,TIME,761.5,474.805,canary
1,1968,TIME,758.197,1269.44,canary
1,1969,TIME,767.188,694.534,canary
1,1970,TIME,767.267,428.087,canary
1,1971,TIME,765.213,400.427,canary
1,1972,TIME,748.693,692.37,canary
1,1973,TIME,715.247,699.605,canary
1,1974,TIME,687.585,607.173,canary
1,1975,TIME,641.99,582.088,canary
1,1976,TIME,608.076,658.782,canary
1,1977,TIME,570.374,406.176,canary
1,1978,TIME,535.826,763.734,canary
1,1979,TIME,467.423,995.393,canary
1,1980,TIME,437.473,166.404,canary
1,1981,TIME,397.847,801.424,canary
1,1982,TIME,339.729,441.305,canary
1,1983,TIME,259.609,217.921,canary
1,1984,TIME,218.507,783.109,canary
1,1985,TIME,194.522,287.603,canary
1,1986,TIME,175.646,326.499,canary
1,1987,TIME,178.053,484.602,canary
1,1988,TIME,176.401,387.185,canary
1,1989,TIME,169.797,505.218,canary
1,1990,TIME,150.083,359.2,canary
1,1991,TIME,110.554,407.164,canary
1,1992,TIME,96.1802,479.284,canary
1,1993,TIME,75.2375,315.726,canary
1,1994,TIME,72.3831,244.642,canary
1,1995,TIME,69.6071,300.875,canary
1,1996,TIME,64.7096,330.028,canary
1,1997,TIME,50.9283,345.575,canary
1,1998,TIME,41.2472,295.769,canary
1,1999,TIME,36.3678,345.013,canary
1,2000,TIME,38.9431,283.867,canary
1,2001,TIME,50.9849,626.744,canary
1,2002,TIME,66.5722,319.23,canary
1,2003,TIME,86.4403,155.586,canary
1,2004,TIME,110.292,66.4,canary
1,2005,TIME,138.231,15.5262,canary
1,2006,TIME,169.439,69.9542,canary
1,2007,TIME,203.787,433.581,canary
1,2008,TIME,240.83,1.46228,canary
1,2009,TIME,281.704,526.554,canary
1,2010,TIME,320.614,548.024,canary
1,2011,TIME,354.018,50.2856,canary
1,2012,TIME,377.302,241.071,canary
1,2013,TIME,393.884,211.488,canary
1,2014,TIME,404.144,315.602,canary
2,1960,TIME,2235.7,1449.67,canary
2,1961,TIME,2153.24,2026.95,canary
2,1962,TIME,2083.72,2236.54,canary
2,1963,TIME,1999.54,2359.46,canary
2,1964,TIME,1973.6,1798.84,canary
2,1965,TIME,1916.56,1531.36,canary
2,1966,TIME,1889.12,1579.39,canary
2,1967,TIME,1864.75,1841.26,canary
2,1968,TIME,1943.72,3374.99,canary
2,1969,TIME,1925.7,1651.08,canary
2,1970,TIME,2036.47,1005.71,canary
2,1971,TIME,2134.48,896.1,canary
2,1972,TIME,2217.04,1547.68,canary
2,1973,TIME,2295.5,2004.11,canary
2,1974,TIME,2310.72,1947.54,canary
2,1975,TIME,2399.82,1782.3,canary
2,1976,TIME,2518.93,1468.12,canary
2,1977,TIME,2651.96,856.253,canary
2,1978,TIME,2725.91,1635.62,canary
2,1979,TIME,2620.73,2942.54,canary
2,1980,TIME,2542.82,404.351,canary
2,1981,TIME,2280.36,1562.55,canary
2,1982,TIME,2134.32,961.874,canary
2,1983,TIME,1768.73,704.184,canary
2,1984,TIME,1420.63,1663.51,canary
2,1985,TIME,1340.97,1020.75,canary
2,1986,TIME,1295.53,1020.76,canary
2,1987,TIME,1273.35,1176.38,canary
2,1988,TIME,1198.07,1095.96,canary
2,1989,TIME,1119.1,1336.18,canary
2,1990,TIME,1025.92,1228.46,canary
2,1991,TIME,989.789,1108.97,canary
2,1992,TIME,858.901,1262.15,canary
2,1993,TIME,758.809,803.82,canary
2,1994,TIME,652.344,704.68,canary
2,1995,TIME,653.588,1623.44,canary
2,1996,TIME,673.677,1087.91,canary
2,1997,TIME,672.21,1291.31,canary
2,1998,TIME,682.97,829.655,canary
2,1999,TIME,680.125,816.729,canary
2,2000,TIME,724.102,614.769,canary
2,2001,TIME,818.118,1111.49,canary
2,2002,TIME,917.908,1375.2,canary
2,2003,TIME,1025.31,1053.45,canary
2,2004,TIME,1139.73,1376.25,canary
2,2005,TIME,1254.78,45.0599,canary
2,2006,TIME,1363.45,994.969,canary
2,2007,TIME,1461.22,1818.4,canary
2,2008,TIME,1548.4,193.526,canary
2,2009,TIME,1630.18,1023.08,canary
2,2010,TIME,1711.18,1514.75,canary
2,2011,TIME,1791.6,1355.7,canary
2,2012,TIME,1865.3,644.358,canary
2,2013,TIME,1928.82,516.984,canary
2,2014,TIME,1983.46,950.757,canary
3,1960,TIME,1521.97,756.206,canary
3,1961,TIME,1503.3,945.234,canary
3,1962,TIME,1481.51,987.082,canary
3,1963,TIME,1450.63,942.283,canary
3,1964,TIME,1430.12,712.594,canary
3,1965,TIME,1421.57,591.496,canary
3,1966,TIME,1389.43,577.985,canary
3,1967,TIME,1178.85,703.863,canary
3,1968,TIME,1099.15,1730.89,canary
3,1969,TIME,1041.74,998.507,canary
3,1970,TIME,1030.38,632.237,canary
3,1971,TIME,1024.69,591.679,canary
3,1972,TIME,1001.21,972.036,canary
3,1973,TIME,997.758,976.378,canary
3,1974,TIME,946.888,855.677,canary
3,1975,TIME,904.869,812.227,canary
3,1976,TIME,876.747,883.831,canary
3,1977,TIME,880.25,590.527,canary
3,1978,TIME,906.73,1325.89,canary
3,1979,TIME,822.647,2115.56,canary
3,1980,TIME,813.459,265.77,canary
3,1981,TIME,799.55,1080.02,canary
3,1982,TIME,814.199,647.873,canary
3,1983,TIME,836.682,351.625,canary
3,1984,TIME,833.575,1307.34,canary
3,1985,TIME,841.835,600.781,canary
3,1986,TIME,809.504,616.491,canary
3,1987,TIME,802.421,982.83,canary
3,1988,TIME,781.222,796.579,canary
3,1989,TIME,754.018,1156.33,canary
3,1990,TIME,684.275,665.154,canary
3,1991,TIME,617.814,968.376,canary
3,1992,TIME,564.759,840.925,canary
3,1993,TIME,530.087,547.893,canary
3,1994,TIME,562.802,1788.63,canary
3,1995,TIME,618.775,597.785,canary
3,1996,TIME,681.356,565.212,canary
3,1997,TIME,746.361,1265.11,canary
3,1998,TIME,811.848,481.649,canary
3,1999,TIME,876.262,593.118,canary
3,2000,TIME,947.41,662.583,canary
3,2001,TIME,1035.21,944.186,canary
3,2002,TIME,1125.36,474.587,canary
3,2003,TIME,1214.13,1370.56,canary
3,2004,TIME,1299.19,110.989,canary
3,2005,TIME,1376.23,821.094,canary
3,2006,TIME,1442.02,406.452,canary
3,2007,TIME,1496.55,649.249,canary
3,2008,TIME,1542.75,730.378,canary
3,2009,TIME,1581.75,743.664,canary
3,2010,TIME,1618,1148.73,canary
3,2011,TIME,1650.49,95.0665,canary
3,2012,TIME,1676.52,372.548,canary
3,2013,TIME,1694.64,440.663,canary
3,2014,TIME,1705.51,539.496,canary
