Area,Yr,Era,SpawnBio,Recruit_0,stock_name
1,1960,TIME,13505.3,15436.6,lingcod_n
1,1961,TIME,13103.7,14067.3,lingcod_n
1,1962,TIME,12793,12772.8,lingcod_n
1,1963,TIME,12907.4,14094.4,lingcod_n
1,1964,TIME,13003.2,20798.7,lingcod_n
1,1965,TIME,12657.4,18243.7,lingcod_n
1,1966,TIME,12123.5,15235.4,lingcod_n
1,1967,TIME,11933.6,15517,lingcod_n
1,1968,TIME,11963.7,14546.8,lingcod_n
1,1969,TIME,11759.5,15474.3,lingcod_n
1,1970,TIME,11911.9,34654,lingcod_n
1,1971,TIME,12165.1,47442.7,lingcod_n
1,1972,TIME,12124.5,19052.6,lingcod_n
1,1973,TIME,12784.5,26795.1,lingcod_n
1,1974,TIME,15569.3,24893.4,lingcod_n
1,1975,TIME,18854.5,14718.7,lingcod_n
1,1976,TIME,19849.5,14522.8,lingcod_n
1,1977,TIME,20434.5,17088.2,lingcod_n
1,1978,TIME,20338.4,22639.8,lingcod_n
1,1979,TIME,19134.9,24041.8,lingcod_n
1,1980,TIME,17099.4,13722.8,lingcod_n
1,1981,TIME,15767.2,10530,lingcod_n
1,1982,TIME,15416.8,13590.2,lingcod_n
1,1983,TIME,14913.1,8380.5,lingcod_n
1,1984,TIME,13225.9,7346.66,lingcod_n
1,1985,TIME,11370,18943.3,lingcod_n
1,1986,TIME,9629.63,10316,lingcod_n
1,1987,TIME,8363.15,7321.78,lingcod_n
1,1988,TIME,7601.59,8480.94,lingcod_n
1,1989,TIME,7760.93,9558.1,lingcod_n
1,1990,TIME,7001.38,13279.1,lingcod_n
1,1991,TIME,6205.4,12073,lingcod_n
1,1992,TIME,5355.41,9643.83,lingcod_n
1,1993,TIME,5487.12,10284.5,lingcod_n
1,1994,TIME,5824,13304.6,lingcod_n
1,1995,TIME,6177.97,15582.5,lingcod_n
1,1996,TIME,6510.82,10089.7,lingcod_n
1,1997,TIME,6810.39,10290.8,lingcod_n
1,1998,TIME,7433.12,10500.1,lingcod_n
1,1999,TIME,7947.19,19265.7,lingcod_n
1,2000,TIME,7867.44,19456.5,lingcod_n
1,2001,TIME,8210.37,16708.8,lingcod_n
1,2002,TIME,8854.56,12309.2,lingcod_n
1,2003,TIME,10066.8,9960.01,lingcod_n
1,2004,TIME,11351,12901.5,lingcod_n
1,2005,TIME,12128.1,6300.92,lingcod_n
1,2006,TIME,12105,13477.5,lingcod_n
1,2007,TIME,11575.2,10333.6,lingcod_n
1,2008,TIME,11218.3,29896.2,lingcod_n
1,2009,TIME,10570.4,15328.7,lingcod_n
1,2010,TIME,10471.1,15404.8,lingcod_n
1,2011,TIME,11146.8,10610.8,lingcod_n
1,2012,TIME,12969,10831.9,lingcod_n
1,2013,TIME,13731.5,21762.5,lingcod_n
1,2014,TIME,13842.7,7629.01,lingcod_n
1,2015,TIME,13408,10033.7,lingcod_n
1,2016,TIME,13143,13158.6,lingcod_n
1,2017,TIME,13376.7,9853.83,lingcod_n
1,2018,TIME,12432.6,18745.2,lingcod_n
1,2019,TIME,11657.5,7822.73,lingcod_n
1,2020,TIME,11182.9,16198.4,lingcod_n
