Area,Yr,Era,SpawnBio,Recruit_0,stock_name
1,1970,TIME,20154.7,1962.83,lingcod_s
1,1971,TIME,19767.5,1920.14,lingcod_s
1,1972,TIME,19247.7,2264.96,lingcod_s
1,1973,TIME,18331.9,3825.65,lingcod_s
1,1974,TIME,17183.8,2389.31,lingcod_s
1,1975,TIME,15924.2,1723.72,lingcod_s
1,1976,TIME,14977.1,2903.26,lingcod_s
1,1977,TIME,14254,5051.62,lingcod_s
1,1978,TIME,13986.8,882.102,lingcod_s
1,1979,TIME,13680,1545.63,lingcod_s
1,1980,TIME,13375.2,2112.3,lingcod_s
1,1981,TIME,12788.3,1289.32,lingcod_s
1,1982,TIME,12028.7,1074.92,lingcod_s
1,1983,TIME,11244.8,1950.31,lingcod_s
1,1984,TIME,10714.4,1509.32,lingcod_s
1,1985,TIME,10173.5,1957.65,lingcod_s
1,1986,TIME,9535.34,1715.4,lingcod_s
1,1987,TIME,9093.82,1717.66,lingcod_s
1,1988,TIME,8538.37,872.785,lingcod_s
1,1989,TIME,7873.06,1471.53,lingcod_s
1,1990,TIME,7114.55,977.704,lingcod_s
1,1991,TIME,6469.34,2255.79,lingcod_s
1,1992,TIME,5930.73,988.449,lingcod_s
1,1993,TIME,5584.29,679.979,lingcod_s
1,1994,TIME,5382.17,897.025,lingcod_s
1,1995,TIME,5461.66,156.291,lingcod_s
1,1996,TIME,5504.8,754.479,lingcod_s
1,1997,TIME,5392.08,487.19,lingcod_s
1,1998,TIME,5205.59,510.695,lingcod_s
1,1999,TIME,5107.71,1512.53,lingcod_s
1,2000,TIME,4940.46,1041.83,lingcod_s
1,2001,TIME,4911.52,1036.73,lingcod_s
1,2002,TIME,5007.63,745.066,lingcod_s
1,2003,TIME,5065.38,778.464,lingcod_s
1,2004,TIME,4897.86,421.913,lingcod_s
1,2005,TIME,4837.77,472.39,lingcod_s
1,2006,TIME,4899.45,349.245,lingcod_s
1,2007,TIME,4949.18,840.367,lingcod_s
1,2008,TIME,4989.57,1935.29,lingcod_s
1,2009,TIME,5024.51,1417.23,lingcod_s
1,2010,TIME,5086.48,2529.07,lingcod_s
1,2011,TIME,5361.93,1508.94,lingcod_s
1,2012,TIME,5846.8,1657.47,lingcod_s
1,2013,TIME,6515.77,2621.75,lingcod_s
1,2014,TIME,7246.89,1134.37,lingcod_s
1,2015,TIME,7951.35,942.518,lingcod_s
1,2016,TIME,8554.26,1027.59,lingcod_s
1,2017,TIME,9159.13,1369.55,lingcod_s
1,2018,TIME,9638.51,754.791,lingcod_s
1,2019,TIME,9967.93,820.16,lingcod_s
1,2020,TIME,10207.7,1602.86,lingcod_s
