Area,Yr,Era,SpawnBio,Recruit_0,stock_name
1,1950,TIME,14790.1,18497.4,petrale_sole
1,1951,TIME,13076.5,18448.8,petrale_sole
1,1952,TIME,12452.2,18587.7,petrale_sole
1,1953,TIME,12094.1,18469.3,petrale_sole
1,1954,TIME,12073.1,17903,petrale_sole
1,1955,TIME,11765.6,17072,petrale_sole
1,1956,TIME,11659.2,16198.9,petrale_sole
1,1957,TIME,11751.5,15183.5,petrale_sole
1,1958,TIME,11475.8,14552.3,petrale_sole
1,1959,TIME,11215.1,14827.5,petrale_sole
1,1960,TIME,11171.6,17846.1,petrale_sole
1,1961,TIME,10828.8,21665.4,petrale_sole
1,1962,TIME,10062.3,13814.2,petrale_sole
1,1963,TIME,9309.98,12694.2,petrale_sole
1,1964,TIME,8530.81,19967.5,petrale_sole
1,1965,TIME,8170.22,15367,petrale_sole
1,1966,TIME,8060.69,33481.2,petrale_sole
1,1967,TIME,7973.77,14607.3,petrale_sole
1,1968,TIME,7783.01,15534.9,petrale_sole
1,1969,TIME,7748.09,17403.3,petrale_sole
1,1970,TIME,7844.49,19795.5,petrale_sole
1,1971,TIME,7845.35,17690,petrale_sole
1,1972,TIME,7891.97,14126.8,petrale_sole
1,1973,TIME,7601.61,12674.1,petrale_sole
1,1974,TIME,7384.81,15686.7,petrale_sole
1,1975,TIME,6645.34,15866.7,petrale_sole
1,1976,TIME,5905.6,20697.5,petrale_sole
1,1977,TIME,5402,22092.3,petrale_sole
1,1978,TIME,5065.21,17848.8,petrale_sole
1,1979,TIME,4296.15,13330.6,petrale_sole
1,1980,TIME,3540.01,13426.9,petrale_sole
1,1981,TIME,3223.82,11285.8,petrale_sole
1,1982,TIME,3109.44,11010.4,petrale_sole
1,1983,TIME,3001.95,12310.4,petrale_sole
1,1984,TIME,2993.45,17513.9,petrale_sole
1,1985,TIME,3108.34,10978.4,petrale_sole
1,1986,TIME,3165.79,7223.15,petrale_sole
1,1987,TIME,3022.32,8333.28,petrale_sole
1,1988,TIME,2701.86,12633.8,petrale_sole
1,1989,TIME,2576.67,16946.5,petrale_sole
1,1990,TIME,2478.72,16145.1,petrale_sole
1,1991,TIME,2365.54,10105.4,petrale_sole
1,1992,TIME,2020.56,6230.25,petrale_sole
1,1993,TIME,1927.09,11478.8,petrale_sole
1,1994,TIME,2121.22,14369.6,petrale_sole
1,1995,TIME,2632.93,8763.2,petrale_sole
1,1996,TIME,3069.88,10405.5,petrale_sole
1,1997,TIME,3160.04,10573.4,petrale_sole
1,1998,TIME,3030.42,25032.2,petrale_sole
1,1999,TIME,3108.76,16296.9,petrale_sole
1,2000,TIME,3302.05,11594.8,petrale_sole
1,2001,TIME,3321.87,10760.7,petrale_sole
1,2002,TIME,3363.22,11689.8,petrale_sole
1,2003,TIME,3661.81,9430.13,petrale_sole
1,2004,TIME,4360.03,12377.9,petrale_sole
1,2005,TIME,4808.75,13730.1,petrale_sole
1,2006,TIME,4641.29,24870.5,petrale_sole
1,2007,TIME,4615.3,30481.5,petrale_sole
1,2008,TIME,4379.07,40004.3,petrale_sole
1,2009,TIME,4259.57,16393.2,petrale_sole
1,2010,TIME,4226.91,12636.6,petrale_sole
1,2011,TIME,5378.05,15343.9,petrale_sole
1,2012,TIME,7204.97,22945.8,petrale_sole
1,2013,TIME,9487.6,13483.2,petrale_sole
1,2014,TIME,11432.6,13528.7,petrale_sole
1,2015,TIME,12690.8,12792.4,petrale_sole
1,2016,TIME,13206.2,16460.4,petrale_sole
1,2017,TIME,13519.1,16517.2,petrale_sole
1,2018,TIME,13365.4,19018.3,petrale_sole
