Area,Yr,Era,SpawnBio,Recruit_0,stock_name
1,1980,TIME,353.925,93.6149,yelloweye
1,1981,TIME,334.077,120.359,yelloweye
1,1982,TIME,298.235,154.109,yelloweye
1,1983,TIME,238.354,109.237,yelloweye
1,1984,TIME,222.361,121.484,yelloweye
1,1985,TIME,205.505,83.7854,yelloweye
1,1986,TIME,187.612,62.5655,yelloweye
1,1987,TIME,177.264,56.5605,yelloweye
1,1988,TIME,161.2,49.0357,yelloweye
1,1989,TIME,146.497,42.2743,yelloweye
1,1990,TIME,134.655,34.4547,yelloweye
1,1991,TIME,120.369,29.4212,yelloweye
1,1992,TIME,97.0409,35.55,yelloweye
1,1993,TIME,82.4571,88.123,yelloweye
1,1994,TIME,80.3974,61.4199,yelloweye
1,1995,TIME,77.7033,28.2697,yelloweye
1,1996,TIME,75.8967,26.8669,yelloweye
1,1997,TIME,70.7064,31.3362,yelloweye
1,1998,TIME,65.9546,51.3641,yelloweye
1,1999,TIME,68.9398,97.4788,yelloweye
1,2000,TIME,70.3541,47.2376,yelloweye
1,2001,TIME,75.4787,62.8298,yelloweye
1,2002,TIME,81.0831,170.537,yelloweye
1,2003,TIME,88.0515,82.1859,yelloweye
1,2004,TIME,94.9414,37.7829,yelloweye
1,2005,TIME,102.479,49.0283,yelloweye
1,2006,TIME,110.251,62.7941,yelloweye
1,2007,TIME,118.329,79.4235,yelloweye
1,2008,TIME,125.928,121.949,yelloweye
1,2009,TIME,134.348,89.8418,yelloweye
1,2010,TIME,142.469,95.6028,yelloweye
1,2011,TIME,151.813,90.4131,yelloweye
1,2012,TIME,161.613,45.7121,yelloweye
1,2013,TIME,172.031,46.7095,yelloweye
1,2014,TIME,183.436,48.2215,yelloweye
1,2015,TIME,195.612,56.0731,yelloweye
1,2016,TIME,208.101,69.1801,yelloweye
2,1980,TIME,987.246,141.753,yelloweye
2,1981,TIME,958.584,182.248,yelloweye
2,1982,TIME,930.924,233.353,yelloweye
2,1983,TIME,884.928,165.408,yelloweye
2,1984,TIME,804.162,183.952,yelloweye
2,1985,TIME,768.658,126.869,yelloweye
2,1986,TIME,710.161,94.7374,yelloweye
2,1987,TIME,677.839,85.6444,yelloweye
2,1988,TIME,643.037,74.2504,yelloweye
2,1989,TIME,612.067,64.012200000000007,yelloweye
2,1990,TIME,564.822,52.1717,yelloweye
2,1991,TIME,538.673,44.5499,yelloweye
2,1992,TIME,496.315,53.8302,yelloweye
2,1993,TIME,451.295,133.437,yelloweye
2,1994,TIME,396.84,93.0026,yelloweye
2,1995,TIME,370.758,42.8062,yelloweye
2,1996,TIME,343.858,40.6822,yelloweye
2,1997,TIME,316.704,47.4496,yelloweye
2,1998,TIME,284.922,77.776,yelloweye
2,1999,TIME,272.732,147.603,yelloweye
2,2000,TIME,252.979,71.5276,yelloweye
2,2001,TIME,254.632,95.1375,yelloweye
2,2002,TIME,254.319,258.229,yelloweye
2,2003,TIME,263.077,124.447,yelloweye
2,2004,TIME,272.51,57.2113,yelloweye
2,2005,TIME,281.941,74.2391,yelloweye
2,2006,TIME,291.251,95.0835,yelloweye
2,2007,TIME,301.109,120.264,yelloweye
2,2008,TIME,310.675,184.657,yelloweye
2,2009,TIME,320.444,136.039,yelloweye
2,2010,TIME,330.799,144.763,yelloweye
2,2011,TIME,341.935,136.904,yelloweye
2,2012,TIME,353.817,69.2176,yelloweye
2,2013,TIME,366.282,70.728,yelloweye
2,2014,TIME,379.678,73.0174,yelloweye
2,2015,TIME,394.23,84.9064,yelloweye
2,2016,TIME,409.173,104.753,yelloweye
