year,recruits
1954,1877000000
1955,2057000000
1956,1674000000
1957,1446000000
1958,5454000000
1959,3670000000
1960,2362000000
1961,1977000000
1962,1088000000
1963,2063000000
1964,1076000000
1965,999000000
1966,1310000000
1967,1359000000
1968,2907000000
1969,4532000000
1970,4690000000
1971,6200000000
1972,6898000000
1973,5427000000
1974,3758000000
1975,5046000000
1976,5913000000
1977,3879000000
1978,4875000000
1979,3193000000
1980,2044000000
1981,3971000000
1982,2983000000
1983,8682000000
1984,1608000000
1985,7192000000
1986,2492000000
1987,1916000000
1988,2621000000
1989,3599000000
1990,3604000000
1991,1801000000
1992,2026000000
1993,4499000000
1994,2683000000
1995,2258000000
1996,2264000000
1997,5566000000
1998,2401000000
1999,1990000000
2000,2430000000
2001,3405000000
2002,2209000000
2003,2979000000
2004,2868000000
2005,4423000000
2006,2005000000
2007,2272000000
2008,2746000000
2009,2507000000
2010,3059000000
2011,4305000000
2012,1522000000
2013,743000000
2014,1990000000
2015,2100000000
2016,3617000000
2017,5428000000
2018,7563000000
2019,2563000000
2020,2797000000
