method,coverage_prob,stock_name,type
mean,1,arrowtooth_flounder_bsai,short
AR(1),0.88,arrowtooth_flounder_bsai,short
Beverton-Holt,1,arrowtooth_flounder_bsai,short
simplex,1,arrowtooth_flounder_bsai,short
PELT,0.76,arrowtooth_flounder_bsai,short
HMM,0.96,arrowtooth_flounder_bsai,short
mean,0.96,atka_mackerel_bsai,short
AR(1),0.96,atka_mackerel_bsai,short
Beverton-Holt,0.96,atka_mackerel_bsai,short
simplex,0.96,atka_mackerel_bsai,short
PELT,0.96,atka_mackerel_bsai,short
HMM,0.8,atka_mackerel_bsai,short
mean,1,blackspotted_rougheye_goa,short
AR(1),1,blackspotted_rougheye_goa,short
Beverton-Holt,0.9615384615384616,blackspotted_rougheye_goa,short
simplex,1,blackspotted_rougheye_goa,short
PELT,0.9615384615384616,blackspotted_rougheye_goa,short
mean,1,dusky_goa,short
AR(1),1,dusky_goa,short
Beverton-Holt,0.9130434782608695,dusky_goa,short
simplex,1,dusky_goa,short
PELT,0.9565217391304348,dusky_goa,short
HMM,0.5652173913043478,dusky_goa,short
mean,0.9545454545454546,greenland_turbot,short
AR(1),1,greenland_turbot,short
Beverton-Holt,0.9090909090909091,greenland_turbot,short
simplex,1,greenland_turbot,short
PELT,0.7727272727272727,greenland_turbot,short
HMM,0.6818181818181818,greenland_turbot,short
mean,1,kamchatka_flounder,short
AR(1),0.8181818181818182,kamchatka_flounder,short
Beverton-Holt,1,kamchatka_flounder,short
simplex,1,kamchatka_flounder,short
PELT,0.9090909090909091,kamchatka_flounder,short
HMM,0.8181818181818182,kamchatka_flounder,short
mean,0.8888888888888888,northern_rock_sole,short
AR(1),0.8518518518518519,northern_rock_sole,short
Beverton-Holt,0.8148148148148148,northern_rock_sole,short
simplex,0.8888888888888888,northern_rock_sole,short
PELT,0.5185185185185185,northern_rock_sole,short
HMM,0.8518518518518519,northern_rock_sole,short
mean,0.88,northern_rockfish_goa,short
AR(1),0.88,northern_rockfish_goa,short
Beverton-Holt,0.88,northern_rockfish_goa,short
simplex,0.92,northern_rockfish_goa,short
PELT,0.84,northern_rockfish_goa,short
HMM,0.72,northern_rockfish_goa,short
mean,0.7307692307692307,ns_rock_sole_goa,short
AR(1),0.8076923076923077,ns_rock_sole_goa,short
Beverton-Holt,0.7307692307692307,ns_rock_sole_goa,short
simplex,0.8076923076923077,ns_rock_sole_goa,short
PELT,0.8076923076923077,ns_rock_sole_goa,short
HMM,0.6153846153846154,ns_rock_sole_goa,short
mean,1,pacific_cod_ebs,short
AR(1),1,pacific_cod_ebs,short
Beverton-Holt,1,pacific_cod_ebs,short
simplex,1,pacific_cod_ebs,short
PELT,1,pacific_cod_ebs,short
HMM,0.68,pacific_cod_ebs,short
mean,0.875,pacific_cod_goa,short
AR(1),0.9166666666666666,pacific_cod_goa,short
Beverton-Holt,0.9166666666666666,pacific_cod_goa,short
simplex,0.9583333333333334,pacific_cod_goa,short
PELT,0.7083333333333334,pacific_cod_goa,short
mean,0.8947368421052632,pollock_ebs,short
AR(1),0.8157894736842105,pollock_ebs,short
Beverton-Holt,0.868421052631579,pollock_ebs,short
simplex,0.868421052631579,pollock_ebs,short
PELT,0.8947368421052632,pollock_ebs,short
HMM,0.7631578947368421,pollock_ebs,short
mean,0.72,pollock_goa,short
AR(1),0.72,pollock_goa,short
Beverton-Holt,0.72,pollock_goa,short
simplex,0.84,pollock_goa,short
PELT,0.8,pollock_goa,short
HMM,0.72,pollock_goa,short
mean,1,pop_bsai,short
AR(1),1,pop_bsai,short
Beverton-Holt,1,pop_bsai,short
simplex,1,pop_bsai,short
PELT,1,pop_bsai,short
mean,0.96,pop_goa,short
AR(1),0.8,pop_goa,short
Beverton-Holt,0.88,pop_goa,short
simplex,1,pop_goa,short
PELT,0.92,pop_goa,short
HMM,0.84,pop_goa,short
mean,0.8695652173913043,sablefish_alaska,short
AR(1),0.8695652173913043,sablefish_alaska,short
Beverton-Holt,0.8695652173913043,sablefish_alaska,short
simplex,0.8695652173913043,sablefish_alaska,short
PELT,0.8260869565217391,sablefish_alaska,short
HMM,0.6086956521739131,sablefish_alaska,short
mean,0.9791666666666666,yellowfin_sole_bsai,short
AR(1),0.9166666666666666,yellowfin_sole_bsai,short
simplex,0.9791666666666666,yellowfin_sole_bsai,short
PELT,0.8541666666666666,yellowfin_sole_bsai,short
HMM,0.875,yellowfin_sole_bsai,short
mean,0.75,aurora,short
AR(1),0.6875,aurora,short
Beverton-Holt,0.75,aurora,short
simplex,0.90625,aurora,short
HMM,0.65625,aurora,short
PELT,0.78125,aurora,short
mean,0.8461538461538461,black_ca,short
AR(1),0.8974358974358975,black_ca,short
Beverton-Holt,0.8461538461538461,black_ca,short
simplex,0.8717948717948718,black_ca,short
HMM,0.717948717948718,black_ca,short
PELT,0.8205128205128205,black_ca,short
mean,0.8260869565217391,black_wa,short
AR(1),0.8260869565217391,black_wa,short
Beverton-Holt,0.8260869565217391,black_wa,short
simplex,0.8695652173913043,black_wa,short
HMM,0.7391304347826086,black_wa,short
PELT,0.8913043478260869,black_wa,short
mean,1,bocaccio,short
AR(1),1,bocaccio,short
Beverton-Holt,0.9696969696969697,bocaccio,short
simplex,1,bocaccio,short
HMM,0.8787878787878788,bocaccio,short
PELT,0.8787878787878788,bocaccio,short
mean,0.8157894736842105,cabezon_ncs,short
AR(1),0.868421052631579,cabezon_ncs,short
Beverton-Holt,0.8157894736842105,cabezon_ncs,short
simplex,0.9473684210526315,cabezon_ncs,short
HMM,0.7368421052631579,cabezon_ncs,short
PELT,0.8421052631578947,cabezon_ncs,short
mean,1,cabezon_ors,short
AR(1),1,cabezon_ors,short
Beverton-Holt,1,cabezon_ors,short
simplex,1,cabezon_ors,short
PELT,1,cabezon_ors,short
mean,0.9666666666666667,cabezon_scs,short
AR(1),1,cabezon_scs,short
Beverton-Holt,0.9666666666666667,cabezon_scs,short
simplex,1,cabezon_scs,short
HMM,0.8,cabezon_scs,short
PELT,0.9333333333333333,cabezon_scs,short
mean,0.8055555555555556,canary,short
AR(1),0.8055555555555556,canary,short
Beverton-Holt,0.75,canary,short
simplex,0.75,canary,short
HMM,0.6111111111111112,canary,short
PELT,0.7777777777777778,canary,short
mean,0.967741935483871,chilipepper,short
AR(1),0.9354838709677419,chilipepper,short
Beverton-Holt,0.967741935483871,chilipepper,short
simplex,0.9354838709677419,chilipepper,short
PELT,0.8387096774193549,chilipepper,short
mean,0.7368421052631579,darkblotched,short
AR(1),0.6578947368421053,darkblotched,short
Beverton-Holt,0.7105263157894737,darkblotched,short
simplex,0.7368421052631579,darkblotched,short
HMM,0.6842105263157895,darkblotched,short
PELT,0.7894736842105263,darkblotched,short
mean,0.7777777777777778,dover_sole,short
AR(1),0.8518518518518519,dover_sole,short
Beverton-Holt,0.7777777777777778,dover_sole,short
simplex,0.8888888888888888,dover_sole,short
HMM,0.8148148148148148,dover_sole,short
PELT,0.7407407407407407,dover_sole,short
mean,0.75,kelp_greenling,short
AR(1),0.75,kelp_greenling,short
Beverton-Holt,0.6875,kelp_greenling,short
simplex,0.75,kelp_greenling,short
HMM,0.75,kelp_greenling,short
PELT,0.75,kelp_greenling,short
mean,0.9047619047619048,lingcod_n,short
AR(1),0.9047619047619048,lingcod_n,short
Beverton-Holt,0.9047619047619048,lingcod_n,short
simplex,0.8809523809523809,lingcod_n,short
HMM,0.8333333333333334,lingcod_n,short
PELT,0.8333333333333334,lingcod_n,short
mean,1,lingcod_s,short
AR(1),1,lingcod_s,short
Beverton-Holt,0.9090909090909091,lingcod_s,short
simplex,1,lingcod_s,short
PELT,0.8181818181818182,lingcod_s,short
mean,0.8780487804878049,petrale,short
AR(1),0.8780487804878049,petrale,short
Beverton-Holt,0.8536585365853658,petrale,short
simplex,0.9024390243902439,petrale,short
PELT,0.8536585365853658,petrale,short
mean,0.84375,sablefish,short
AR(1),0.8125,sablefish,short
Beverton-Holt,0.84375,sablefish,short
simplex,0.84375,sablefish,short
PELT,0.875,sablefish,short
mean,0.6333333333333333,splitnose,short
AR(1),0.6333333333333333,splitnose,short
Beverton-Holt,0.6333333333333333,splitnose,short
simplex,0.7666666666666667,splitnose,short
HMM,0.6666666666666666,splitnose,short
PELT,0.7,splitnose,short
mean,0.8666666666666667,widow,short
AR(1),0.8666666666666667,widow,short
Beverton-Holt,0.8666666666666667,widow,short
simplex,0.8666666666666667,widow,short
PELT,0.8,widow,short
mean,0.9444444444444444,yelloweye,short
AR(1),0.9444444444444444,yelloweye,short
Beverton-Holt,0.8888888888888888,yelloweye,short
simplex,0.9444444444444444,yelloweye,short
HMM,0.8333333333333334,yelloweye,short
PELT,0.8888888888888888,yelloweye,short
mean,1,arrowtooth_flounder_bsai,long
AR(1),0.88,arrowtooth_flounder_bsai,long
Beverton-Holt,1,arrowtooth_flounder_bsai,long
simplex,1,arrowtooth_flounder_bsai,long
PELT,0.76,arrowtooth_flounder_bsai,long
HMM,0.84,arrowtooth_flounder_bsai,long
mean,0.96,atka_mackerel_bsai,long
AR(1),0.96,atka_mackerel_bsai,long
Beverton-Holt,0.96,atka_mackerel_bsai,long
simplex,0.96,atka_mackerel_bsai,long
PELT,0.96,atka_mackerel_bsai,long
HMM,0.8,atka_mackerel_bsai,long
mean,1,blackspotted_rougheye_goa,long
AR(1),1,blackspotted_rougheye_goa,long
Beverton-Holt,0.9615384615384616,blackspotted_rougheye_goa,long
simplex,1,blackspotted_rougheye_goa,long
PELT,0.9615384615384616,blackspotted_rougheye_goa,long
mean,1,dusky_goa,long
AR(1),1,dusky_goa,long
